Translation failed for entity-view.no-keys-found: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: No keys found.
Translation failed for entity-view.create-new-alias: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Create a new one!
Translation failed for entity-view.create-new-key: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Create a new one!
Translation failed for entity-view.duplicate-alias-error: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Duplicate alias found '{{alias}}'.<br>Entity View aliases must be unique within the dashboard.
Translation failed for entity-view.configure-alias: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Configure '{{alias}}' alias
Translation failed for entity-view.no-entity-views-matching: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: No entity views matching '{{entity}}' were found.
Translation failed for entity-view.public: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Public
Translation failed for entity-view.alias: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Alias
Translation failed for entity-view.alias-required: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Entity View alias is required.
Translation failed for entity-view.remove-alias: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Remove entity view alias
Translation failed for entity-view.add-alias: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Add entity view alias
Translation failed for entity-view.name-starts-with: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Entity View name expression
Translation failed for entity-view.help-text: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Use '%' according to need: '%entity-view_name_contains%', '%entity-view_name_ends', 'entity-view_starts_with'.
Translation failed for entity-view.entity-view-list: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Entity View list
Translation failed for entity-view.use-entity-view-name-filter: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Use filter
Translation failed for entity-view.entity-view-list-empty: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: No entity views selected.
Translation failed for entity-view.entity-view-name-filter-required: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Entity view name filter is required.
Translation failed for entity-view.entity-view-name-filter-no-entity-view-matched: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: No entity views starting with '{{entityView}}' were found.
Translation failed for entity-view.add: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Add entity view
Translation failed for entity-view.entity-view-public: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Entity view is public
Translation failed for entity-view.assign-to-customer: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Assign to customer
Translation failed for entity-view.assign-entity-view-to-customer: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Assign Entity View(s) To Customer
Translation failed for entity-view.assign-entity-view-to-customer-text: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Please select the entity views to assign to the customer
Translation failed for entity-view.assign-entity-view-to-edge-title: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Assign Entity View(s) To Edge
Translation failed for entity-view.no-entity-views-text: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: No entity views found
Translation failed for entity-view.assign-to-customer-text: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Please select the customer to assign the entity view(s)
Translation failed for entity-view.entity-view-details: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Entity view details
Translation failed for entity-view.add-entity-view-text: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Add new entity view
Translation failed for entity-view.delete: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Delete entity view
Translation failed for entity-view.assign-entity-views: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Assign entity views
Translation failed for entity-view.assign-entity-views-text: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Assign { count, plural, =1 {1 entity view} other {# entity views} } to customer
Translation failed for entity-view.delete-entity-views: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Delete entity views
Translation failed for entity-view.unassign-from-customer: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Unassign from customer
Translation failed for entity-view.unassign-entity-views: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Unassign entity views
Translation failed for entity-view.unassign-entity-views-action-title: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Unassign { count, plural, =1 {1 entity view} other {# entity views} } from customer
Translation failed for entity-view.assign-new-entity-view: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Assign new entity view
Translation failed for entity-view.delete-entity-view-title: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Are you sure you want to delete the entity view '{{entityViewName}}'?
Translation failed for entity-view.delete-entity-view-text: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Be careful, after the confirmation the entity view and all related data will become unrecoverable.
Translation failed for entity-view.delete-entity-views-title: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Are you sure you want to delete { count, plural, =1 {1 entity view} other {# entity views} }?
Translation failed for entity-view.delete-entity-views-action-title: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Delete { count, plural, =1 {1 entity view} other {# entity views} }
Translation failed for entity-view.delete-entity-views-text: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Be careful, after the confirmation all selected entity views will be removed and all related data will become unrecoverable.
Translation failed for entity-view.unassign-entity-view-title: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Are you sure you want to unassign the entity view '{{entityViewName}}'?
Translation failed for entity-view.unassign-entity-view-text: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: After the confirmation the entity view will be unassigned and won't be accessible by the customer.
Translation failed for entity-view.unassign-entity-view: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Unassign entity view
Translation failed for entity-view.unassign-entity-views-title: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Are you sure you want to unassign { count, plural, =1 {1 entity view} other {# entity views} }?
Translation failed for entity-view.unassign-entity-views-text: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: After the confirmation all selected entity views will be unassigned and won't be accessible by the customer.
Translation failed for entity-view.entity-view-type: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Entity view type
Translation failed for entity-view.entity-view-type-required: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Entity view type is required.
Translation failed for entity-view.select-entity-view-type: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Select entity view type
Translation failed for entity-view.enter-entity-view-type: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Enter entity view type
Translation failed for entity-view.any-entity-view: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Any entity view
Translation failed for entity-view.no-entity-view-types-matching: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: No entity view types matching '{{entitySubtype}}' were found.
Translation failed for entity-view.entity-view-type-list-empty: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: No entity view types selected.
Translation failed for entity-view.entity-view-types: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Entity view types
Translation failed for entity-view.created-time: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Created time
Translation failed for entity-view.name: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Name
Translation failed for entity-view.name-required: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Name is required.
Translation failed for entity-view.name-max-length: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Name should be less than 256
Translation failed for entity-view.type-max-length: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Entity view type should be less than 256
Translation failed for entity-view.description: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Description
Translation failed for entity-view.events: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Events
Translation failed for entity-view.details: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Details
Translation failed for entity-view.copyId: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Copy entity view Id
